account_number,meter_id,site_name,billing_period_start,billing_period_end,consumption_kwh,demand_kw,tariff_code,cost_local_currency
ACC-1001,MTR-BLR-001,Bengaluru Assembly,2026-01-18,2026-02-17,18450.75,312.4,HT2A,176890.25
ACC-1001,MTR-BLR-002,Bengaluru Assembly,2026-01-18,2026-02-17,9210.40,145.8,HT2A,88220.10
ACC-2001,MTR-MYS-001,Mysuru Components,2026-01-18,2026-02-17,12680.00,204.6,HT2B,121075.00
ACC-1001,MTR-BLR-001,Bengaluru Assembly,2026-02-18,2026-03-17,19120.30,325.0,HT2A,183410.50
ACC-1001,MTR-BLR-002,Bengaluru Assembly,2026-02-18,2026-03-17,9475.65,151.3,HT2A,90780.90
ACC-2001,MTR-MYS-001,Mysuru Components,2026-02-18,2026-03-17,13.42 MWh,211.7,HT2B,128540.20
ACC-1001,MTR-BLR-001,Bengaluru Assembly,2026-03-18,2026-04-17,20110.95,337.2,HT2A,193002.45
ACC-1001,MTR-BLR-002,Bengaluru Assembly,2026-03-18,2026-04-17,10005.10,162.0,HT2A,95888.30
ACC-2001,MTR-MYS-001,Mysuru Components,2026-03-18,2026-04-17,13290.80,218.9,HT2B,127116.75
ACC-1001,MTR-BLR-001,Bengaluru Assembly,2026-04-18,2026-05-17,21450.00,350.5,HT2A,205740.00
ACC-1001,MTR-BLR-002,Bengaluru Assembly,2026-04-18,2026-05-17,10440.25,169.4,HT2A,100122.85
ACC-2001,MTR-MYS-001,Mysuru Components,2026-04-18,2026-05-17,13995.30,226.2,HT2B,133900.40
ACC-1001,MTR-BLR-001,Bengaluru Assembly,2026-05-18,2026-06-17,22680.15,366.8,HT2A,217620.10
ACC-1001,MTR-BLR-002,Bengaluru Assembly,2026-05-18,2026-06-17,10875.55,174.1,HT2A,104299.95
ACC-2001,MTR-MYS-001,Mysuru Components,2026-05-18,2026-06-17,14520.60,235.5,HT2B,138955.65
