Belegnummer;Buchungsdatum;Werk;Materialnummer;Materialkurztext;Menge;Mengeneinheit;Kostenstelle
4900001001;03.01.2026;1000;DIESEL-001;Diesel EN590;1.234,56;L;FLEET-100
4900001002;05.01.2026;1000;NATGAS-002;Erdgas H;2.450,00;M3;BOILER-110
4900001003;07.01.2026;2000;HFO-003;Heizoel schwer;18,75;TO;HEAT-200
4900001004;10.01.2026;3000;DIESEL-001;Diesel Generator;850,40;GAL;GEN-300
4900001005;12.01.2026;2000;NATGAS-002;Erdgas Produktion;3.120,75;M3;PROC-210
4900001006;14.01.2026;1000;HFO-003;Heizoel Kessel;9.875,50;KG;HEAT-120
4900001007;18.01.2026;3000;DIESEL-001;Diesel Stapler;2.005,00;L;WH-310
4900001008;22.01.2026;2000;NATGAS-002;Erdgas Trockner;4.010,25;M3;PROC-220
4900001009;25.01.2026;1000;HFO-003;Heizoel Reserve;6,50;TO;HEAT-130
4900001010;28.01.2026;3000;DIESEL-001;Diesel Fuhrpark;1.125,80;L;FLEET-320
4900001011;02.02.2026;1000;NATGAS-002;Erdgas Heizung;1.980,10;M3;BOILER-115
4900001012;04.02.2026;2000;HFO-003;Heizoel Prozess;7.250,00;KG;HEAT-230
4900001013;08.02.2026;3000;DIESEL-001;Diesel Notstrom;230,75;GAL;GEN-330
4900001014;11.02.2026;1000;NATGAS-002;Erdgas Linie 1;5.500,00;M3;PROC-140
4900001015;15.02.2026;2000;HFO-003;Heizoel Linie 2;12,30;TO;HEAT-240
4900001016;18.02.2026;3000;DIESEL-001;Diesel Logistik;3.475,90;L;LOG-340
4900001017;21.02.2026;1000;NATGAS-002;Erdgas KWK;8.760,55;M3;ENERGY-150
4900001018;24.02.2026;2000;HFO-003;Heizoel Altbestand;4.420,00;KG;HEAT-250
4900001019;26.02.2026;3000;DIESEL-001;Diesel Testlauf;0,00;L;GEN-350
4900001020;28.02.2026;1000;NATGAS-002;Erdgas Spitzenlast;960,40;M3;BOILER-160
